22:5:27	INICIO maoni. Escuchando en el puerto: 5555
22:5:36	Request file: /
22:5:36	Request file: /jquery/jquery.min.js
22:5:36	ext: .JS
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:5:36	Request file: /bootstrap/js/bootstrap.min.js
22:5:36	ext: .JS
22:5:36	Request file: /js/sha256.js
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\js\sha256.js
22:5:36	ext: .JS
22:5:36	Request file: /js/toastr.js
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
22:5:36	ext: .JS
22:5:36	Request file: /js/lib.js
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:5:36	ext: .JS
22:5:36	Request file: /bootstrap/css/bootstrap.min.css
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:5:36	ext: .CSS
22:5:36	Request file: /css/maoni.css
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:5:36	ext: .CSS
22:5:36	Request file: /css/signin.css
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\css\signin.css
22:5:36	ext: .CSS
22:5:36	Request file: /css/animate.min.css
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:5:36	Request file: /css/toastr.css
22:5:36	ext: .CSS
22:5:36	ext: .CSS
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
22:5:36	Request file: /img/logoGo.png
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\img\logoGo.png
22:5:36	ext: .PNG
22:5:36	Request file: /img/fondo.png
22:5:36	filename: c:\projectes\Maoni\Maoni\protected\img\fondo.png
22:5:36	ext: .PNG
22:5:44	Request file: /BBDD
22:5:44	login -> {"f":"login","user":"maoni","pwd":"99390cfd08236787dbe95558846798013dcd060a1d6e6b49ad10a08f30eaf201"}
22:5:46	Request file: /@@MENU@@_page_000.html?SESSIONKEY=115498
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
22:5:46	ext: .HTML
22:5:46	Request file: /jquery/jquery.min.js
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\jquery\jquery.min.js
22:5:46	ext: .JS
22:5:46	Request file: /bootstrap/js/bootstrap.min.js
22:5:46	ext: .JS
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\js\bootstrap.min.js
22:5:46	Request file: /js/lib.js
22:5:46	ext: .JS
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
22:5:46	Request file: /bootstrap/css/bootstrap.min.css
22:5:46	ext: .CSS
22:5:46	Request file: /css/maoni.css
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
22:5:46	ext: .CSS
22:5:46	Request file: /css/animate.min.css
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
22:5:46	ext: .CSS
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\bootstrap\css\bootstrap.min.css
22:5:46	Request file: /js/moment.min.js
22:5:46	ext: .JS
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\js\moment.min.js
22:5:46	Request file: /js/bootstrap-datetimepicker.min.js
22:5:46	filename: c:\projectes\Maoni\Maoni\protected\js\bootstrap-datetimepicker.min.js
22:5:46	ext: .JS
