19:56:1	INICIO ENVIO EMAILS....
19:56:1	INICIO maoni. Escuchando en el puerto: 5555
19:56:1	Server is ready to take our messages
19:56:2	1 Grupo Hoteles Prestige
19:56:2	  1 Hotel Princesa Sofía
19:56:2	  2 Hotel Barcelona Mar
19:56:2	    ES \inmail\inmail_es.html
19:56:19	Request file: /
19:56:19	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:19	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
19:56:19	ext: .JS
19:56:19	ext: .JS
19:56:19	Request file: /js/sha256.js
19:56:19	filename: c:\projectes\Maoni\Maoni\protected\js\sha256.js
19:56:19	ext: .JS
19:56:19	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js
19:56:19	Request file: /js/toastr.js
19:56:19	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
19:56:19	ext: .JS
19:56:19	Request file: /vendors/bootstrap/dist/css/bootstrap.min.css
19:56:19	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\css\bootstrap.min.css
19:56:19	ext: .CSS
19:56:19	Request file: /vendors/jquery/dist/jquery.min.js
19:56:19	Request file: /js/lib.js
19:56:19	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
19:56:19	ext: .JS
19:56:20	Request file: /css/maoni.css
19:56:20	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
19:56:20	ext: .CSS
19:56:20	ext: .CSS
19:56:20	Request file: /css/signin.css
19:56:20	filename: c:\projectes\Maoni\Maoni\protected\css\signin.css
19:56:20	Request file: /css/animate.min.css
19:56:20	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
19:56:20	ext: .CSS
19:56:20	Request file: /css/toastr.css
19:56:20	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
19:56:20	ext: .CSS
19:56:20	Request file: /css/custom.css
19:56:20	filename: c:\projectes\Maoni\Maoni\protected\css\custom.css
19:56:20	ext: .CSS
19:56:21	Request file: /img/logoGo.png
19:56:21	filename: c:\projectes\Maoni\Maoni\protected\img\logoGo.png
19:56:21	ext: .PNG
19:56:21	Request file: /img/fondo.png
19:56:21	filename: c:\projectes\Maoni\Maoni\protected\img\fondo.png
19:56:21	ext: .PNG
19:56:25	Request file: /BBDD
19:56:25	login -> {"f":"login","user":"xavi","pwd":"99390cfd08236787dbe95558846798013dcd060a1d6e6b49ad10a08f30eaf201"}
19:56:25	Request file: /@@MENU@@_page_000.html?SESSIONKEY=252867
19:56:25	ext: .HTML
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
19:56:25	Request file: /vendors/bootstrap/dist/css/bootstrap.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\css\bootstrap.min.css
19:56:25	Request file: /vendors/font-awesome/css/font-awesome.min.css
19:56:25	ext: .CSS
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\font-awesome\css\font-awesome.min.css
19:56:25	Request file: /vendors/iCheck/skins/flat/green.css
19:56:25	ext: .CSS
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\iCheck\skins\flat\green.css
19:56:25	ext: .CSS
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap-progressbar\css\bootstrap-progressbar-3.3.4.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\css\maps\jquery-jvectormap-2.0.3.css
19:56:25	ext: .CSS
19:56:25	Request file: /css/maps/jquery-jvectormap-2.0.3.css
19:56:25	Request file: /vendors/select2/dist/css/select2.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\select2\dist\css\select2.min.css
19:56:25	ext: .CSS
19:56:25	ext: .CSS
19:56:25	Request file: /vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css
19:56:25	Request file: /css/toastr.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
19:56:25	ext: .CSS
19:56:25	Request file: /css/custom.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\css\custom.css
19:56:25	ext: .CSS
19:56:25	ext: .CSS
19:56:25	Request file: /css/animate.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
19:56:25	ext: .CSS
19:56:25	Request file: /css/maoni.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
19:56:25	Request file: /vendors/datatables.net-bs/css/dataTables.bootstrap.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-bs\css\dataTables.bootstrap.min.css
19:56:25	ext: .CSS
19:56:25	Request file: /vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons-bs\css\buttons.bootstrap.min.css
19:56:25	ext: .CSS
19:56:25	Request file: /vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-fixedheader-bs\css\fixedHeader.bootstrap.min.css
19:56:25	ext: .CSS
19:56:25	Request file: /vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-responsive-bs\css\responsive.bootstrap.min.css
19:56:25	ext: .CSS
19:56:25	Request file: /vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-scroller-bs\css\scroller.bootstrap.min.css
19:56:25	ext: .CSS
19:56:25	Request file: /vendors/jquery/dist/jquery.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/parsleyjs/dist/parsley.min.js
19:56:25	Request file: /js/toastr.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/fastclick/lib/fastclick.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\fastclick\lib\fastclick.js
19:56:25	ext: .JS
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\parsleyjs\dist\parsley.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/nprogress/nprogress.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\nprogress\nprogress.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net/js/jquery.dataTables.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net\js\jquery.dataTables.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-bs/js/dataTables.bootstrap.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-bs\js\dataTables.bootstrap.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-buttons/js/dataTables.buttons.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\dataTables.buttons.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\font-awesome\fonts\fontawesome-webfont.woff2
19:56:25	ext: .WOFF2
19:56:25	Request file: /vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons-bs\js\buttons.bootstrap.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-buttons/js/buttons.flash.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\buttons.flash.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-buttons/js/buttons.html5.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\buttons.html5.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-buttons/js/buttons.print.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-buttons\js\buttons.print.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-fixedheader\js\dataTables.fixedHeader.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-keytable/js/dataTables.keyTable.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-keytable\js\dataTables.keyTable.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-responsive/js/dataTables.responsive.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-responsive\js\dataTables.responsive.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-responsive-bs\js\responsive.bootstrap.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/datatables.net-scroller/js/datatables.scroller.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\datatables.net-scroller\js\datatables.scroller.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/jszip/dist/jszip.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\jszip\dist\jszip.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/pdfmake/build/pdfmake.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\pdfmake\build\pdfmake.min.js
19:56:25	ext: .JS
19:56:25	Request file: /vendors/pdfmake/build/vfs_fonts.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\vendors\pdfmake\build\vfs_fonts.js
19:56:25	ext: .JS
19:56:25	Request file: /js/moment/moment.min.js
19:56:25	filename: c:\projectes\Maoni\Maoni\protected\js\moment\moment.min.js
19:56:25	ext: .JS
19:56:26	Request file: /js/datepicker/daterangepicker.js
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\js\datepicker\daterangepicker.js
19:56:26	ext: .JS
19:56:26	Request file: /vendors/select2/dist/js/select2.full.min.js
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\vendors\select2\dist\js\select2.full.min.js
19:56:26	ext: .JS
19:56:26	Request file: /js/custom.js
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\js\custom.js
19:56:26	ext: .JS
19:56:26	Request file: /js/lib.js
19:56:26	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
19:56:26	ext: .JS
